DAT;RR;RRI;FF;DD;FXI;DXI;T;TD;U;PMER;UV;RAD;IC;WINDCHILL
10/02/2015-02:00;0.0;0.0;4.8;135.0;11.3;None;23.9;21.5;86.0;1015.92;0.0;0.0;23.9;23.9
10/02/2015-02:05;0.0;0.0;4.8;135.0;11.3;None;23.9;21.7;87.0;1015.88;0.0;0.0;23.9;23.9
10/02/2015-02:10;0.2;0.0;3.2;135.0;11.3;None;23.9;21.6;87.0;1015.98;0.0;0.0;23.9;23.9
10/02/2015-02:15;0.2;0.26;3.2;180.0;6.4;None;23.8;21.9;89.0;1015.88;0.0;0.0;23.8;23.8
10/02/2015-02:20;0.0;0.16;3.2;158.0;8.0;None;23.7;21.6;88.0;1015.88;0.0;0.0;23.7;23.7
10/02/2015-02:25;0.0;0.1;3.2;135.0;8.0;None;23.6;21.5;88.0;1015.82;0.0;0.0;23.6;23.6
10/02/2015-02:30;0.0;0.0;4.8;180.0;12.9;None;23.5;21.4;88.0;1015.82;0.0;0.0;23.5;23.5
10/02/2015-02:35;0.0;0.0;3.2;202.0;8.0;None;23.4;21.4;88.0;1015.92;0.0;0.0;23.4;23.4
10/02/2015-02:40;0.0;0.0;3.2;180.0;6.4;None;23.4;21.3;88.0;1015.78;0.0;0.0;23.4;23.4
10/02/2015-02:45;0.0;0.0;4.8;135.0;12.9;None;23.4;21.4;88.0;1015.78;0.0;0.0;23.4;23.4
10/02/2015-02:50;0.6;1.44;4.8;112.0;11.3;None;23.4;21.6;89.0;1015.88;0.0;0.0;23.4;23.4
10/02/2015-02:55;0.0;0.16;4.8;112.0;11.3;None;23.3;21.6;90.0;1015.95;0.0;0.0;23.3;23.3
10/02/2015-03:00;0.0;0.1;3.2;135.0;6.4;None;23.2;21.5;90.0;1015.75;0.0;0.0;23.2;23.2
10/02/2015-03:05;0.4;0.8;1.6;90.0;3.2;None;23.0;21.7;92.0;1015.82;0.0;0.0;23.0;23.0
10/02/2015-03:10;1.0;3.58;1.6;180.0;4.8;None;22.9;21.5;92.0;1015.71;0.0;0.0;22.9;22.9
10/02/2015-03:15;0.0;0.2;1.6;135.0;4.8;None;22.8;21.6;93.0;1015.75;0.0;0.0;22.8;22.8
10/02/2015-03:20;0.2;0.2;1.6;158.0;6.4;None;22.7;21.5;93.0;1015.68;0.0;0.0;22.7;22.7
10/02/2015-03:25;0.0;0.14;4.8;112.0;12.9;None;22.7;21.7;94.0;1015.71;0.0;0.0;22.7;22.7
10/02/2015-03:30;0.0;0.1;6.4;135.0;14.5;None;22.7;21.7;94.0;1015.58;0.0;0.0;22.7;22.7
10/02/2015-03:35;0.0;0.0;8.0;158.0;16.1;None;22.8;21.5;92.0;1015.54;0.0;0.0;22.8;22.8
10/02/2015-03:40;0.0;0.0;6.4;135.0;14.5;None;23.0;21.7;92.0;1015.41;0.0;0.0;23.0;23.0
10/02/2015-03:45;0.0;0.0;8.0;135.0;16.1;None;23.1;21.8;92.0;1015.34;0.0;0.0;23.1;23.1
10/02/2015-03:50;0.0;0.0;4.8;158.0;11.3;None;23.1;21.8;92.0;1015.48;0.0;0.0;23.1;23.1
10/02/2015-03:55;0.0;0.0;6.4;180.0;17.7;None;23.0;21.5;91.0;1015.48;0.0;0.0;23.0;23.0
10/02/2015-04:00;0.0;0.0;6.4;158.0;16.1;None;23.1;21.6;91.0;1015.48;0.0;0.0;23.1;23.1
10/02/2015-04:05;0.0;0.0;6.4;202.0;14.5;None;23.3;21.6;90.0;1015.34;0.0;0.0;23.3;23.3
10/02/2015-04:10;0.0;0.0;4.8;180.0;12.9;None;23.3;21.6;90.0;1015.31;0.0;0.0;23.3;23.3
10/02/2015-04:15;0.0;0.0;3.2;158.0;16.1;None;23.4;21.7;90.0;1015.21;0.0;0.0;23.4;23.4
10/02/2015-04:20;0.0;0.0;3.2;158.0;6.4;None;23.4;21.7;90.0;1015.21;0.0;0.0;23.4;23.4
10/02/2015-04:25;0.0;0.0;3.2;202.0;8.0;None;23.3;21.6;90.0;1015.14;0.0;0.0;23.3;23.3
10/02/2015-04:30;0.0;0.0;1.6;135.0;4.8;None;23.2;21.6;91.0;1015.24;0.0;0.0;23.2;23.2
10/02/2015-04:35;0.0;0.0;3.2;135.0;8.0;None;23.1;21.7;92.0;1015.24;0.0;0.0;23.1;23.1
10/02/2015-04:40;0.0;0.0;3.2;135.0;8.0;None;23.0;21.7;92.0;1015.27;0.0;0.0;23.0;23.0
10/02/2015-04:45;0.0;0.0;4.8;135.0;12.9;None;23.1;21.7;92.0;1015.24;0.0;0.0;23.1;23.1
10/02/2015-04:50;0.0;0.0;8.0;135.0;19.3;None;23.2;21.6;91.0;1015.27;0.0;0.0;23.2;23.2
10/02/2015-04:55;0.0;0.0;12.9;135.0;24.1;None;23.3;21.8;91.0;1015.27;0.0;0.0;23.3;23.3
10/02/2015-05:00;0.0;0.0;8.0;135.0;20.9;None;23.3;21.8;91.0;1015.41;0.0;0.0;23.3;23.3
